SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,36,,良好,1.1,0.11,24,22.0,22,12,3.0,3.1,0.1,3.0,82.0,2017-10-12 01:00,,0.1,11.0,16,2,,,
汐止,新北市,17,,良好,2.3,0.12,23,18.0,8,4,4.8,6.7,1.9,1.2,52.0,2017-10-12 01:00,,0.2,5.0,13,2,,,
萬里,新北市,40,,良好,2.5,0.07,30,26.0,61,14,1.0,1.6,0.6,9.2,46.0,2017-10-12 01:00,,0.1,11.0,43,3,,,
基隆,基隆市,34,,良好,1.4,0.08,25,21.0,13,10,2.7,2.6,0.0,1.3,113.0,2017-10-12 00:00,,0.1,11.0,14,2,,,
汐止,新北市,17,,良好,2.1,0.12,23,18.0,12,3,4.9,6.3,1.5,2.7,28.0,2017-10-12 00:00,,0.2,5.0,14,2,,,
萬里,新北市,35,,良好,2.3,0.07,29,25.0,47,7,0.7,1.4,0.7,8.3,44.0,2017-10-12 00:00,,0.1,10.0,38,3,,,
新店,新北市,16,,良好,1.9,0.17,21,17.0,12,3,4.6,6.1,1.5,2.1,36.0,2017-10-12 00:00,,0.3,3.0,13,2,,,
土城,新北市,17,,良好,1.2,0.17,19,15.0,18,2,7.7,8.4,0.7,1.7,353.0,2017-10-12 00:00,,0.3,5.0,18,1,,,
板橋,新北市,16,,良好,3.2,0.2,17,11.0,17,3,12.0,14.0,2.8,3.4,75.0,2017-10-12 00:00,,0.4,5.0,17,2,,,
新莊,新北市,13,,良好,4.4,0.16,16,14.0,11,3,10.0,12.0,1.3,3.9,68.0,2017-10-12 00:00,,0.3,3.0,14,3,,,
菜寮,新北市,24,,良好,6.0,0.17,16,13.0,19,10,11.0,12.0,1.1,3.1,98.0,2017-10-12 00:00,,0.3,7.0,19,4,,,
林口,新北市,43,,良好,2.3,0.15,21,15.0,21,14,5.4,7.4,2.1,2.2,62.0,2017-10-12 00:00,,0.2,13.0,20,3,,,
淡水,新北市,16,,良好,1.9,0.1,22,17.0,11,5,1.7,2.4,0.7,,,2017-10-12 00:00,,0.2,3.0,15,3,,,
士林,臺北市,24,,良好,0.4,0.09,25,20.0,13,5,3.3,4.5,1.2,2.8,78.0,2017-10-12 00:00,,0.1,7.0,22,4,,,
中山,臺北市,45,,良好,2.6,0.28,12,6.0,17,,14.0,18.0,3.9,1.1,243.0,2017-10-12 00:00,,0.6,14.0,27,3,,,
萬華,臺北市,19,,良好,4.4,0.26,14,8.0,25,4,12.0,19.0,7.7,1.6,210.0,2017-10-12 00:00,,0.7,4.0,21,3,,,
古亭,臺北市,24,,良好,1.9,0.16,20,14.0,13,10,5.9,7.6,1.7,2.7,62.0,2017-10-12 00:00,,0.3,7.0,16,1,,,
松山,臺北市,20,,良好,4.1,0.13,18,12.0,16,2,9.0,11.0,2.5,2.1,44.0,2017-10-12 00:00,,0.3,6.0,14,2,,,
大同,臺北市,31,,良好,4.3,0.62,-,,35,,16.0,34.0,18.0,,,2017-10-12 00:00,,0.8,,33,4,,,
桃園,桃園市,22,,良好,4.9,0.19,15,13.0,19,11,12.0,13.0,1.5,2.8,70.0,2017-10-12 00:00,,0.3,7.0,20,3,,,
大園,桃園市,27,,良好,2.3,0.12,17,14.0,19,4,11.0,12.0,1.1,5.5,51.0,2017-10-12 00:00,,0.2,7.0,29,3,,,
觀音,桃園市,33,,良好,6.4,0.14,13,11.0,34,6,15.0,16.0,1.0,6.1,76.0,2017-10-12 00:00,,0.1,8.0,36,6,,,
平鎮,桃園市,30,,良好,3.7,0.23,16,15.0,21,ND,12.0,12.0,0.9,3.4,46.0,2017-10-12 00:00,,0.3,9.0,21,3,,,
龍潭,桃園市,24,,良好,1.5,0.1,21,19.0,24,5,3.7,4.6,0.8,4.6,58.0,2017-10-12 00:00,,0.2,8.0,26,2,,,
湖口,新竹縣,19,,良好,1.0,0.13,20,19.0,19,7,5.5,6.4,1.0,4.4,60.0,2017-10-12 00:00,,0.2,5.0,21,2,,,
竹東,新竹縣,21,,良好,0.3,0.09,22,21.0,17,7,1.4,3.3,1.9,6.3,39.0,2017-10-12 00:00,,0.1,7.0,19,1,,,
新竹,新竹市,24,,良好,2.6,0.15,20,20.0,13,4,6.6,7.2,0.6,5.8,63.0,2017-10-12 00:00,,0.2,7.0,26,2,,,
頭份,苗栗縣,36,,良好,0.9,0.14,22,22.0,12,9,4.3,5.1,0.8,5.2,84.0,2017-10-12 00:00,,0.2,11.0,12,1,,,
苗栗,苗栗縣,42,,良好,1.1,0.14,18,18.0,17,10,3.7,4.4,0.7,2.8,49.0,2017-10-12 00:00,,0.3,13.0,21,3,,,
三義,苗栗縣,36,,良好,1.0,0.13,15,22.0,6,3,7.3,7.9,0.6,3.8,21.0,2017-10-12 00:00,,0.2,11.0,24,3,,,
豐原,臺中市,106,細懸浮微粒,對敏感族群不良,4.4,0.43,26,40.0,54,31,12.0,12.0,0.4,2.4,119.0,2017-10-12 00:00,,0.6,37.0,61,6,,,
沙鹿,臺中市,44,,良好,2.3,0.25,8.9,13.0,22,4,15.0,16.0,1.2,2.5,57.0,2017-10-12 00:00,,0.3,14.0,39,5,,,
大里,臺中市,143,細懸浮微粒,對敏感族群不良,5.2,0.6,30,22.0,117,54,17.0,16.0,-0.3,1.6,65.0,2017-10-12 00:00,,0.9,52.0,117,7,,,
忠明,臺中市,97,細懸浮微粒,普通,4.5,0.56,25,23.0,67,45,23.0,24.0,0.9,1.6,29.0,2017-10-12 00:00,,0.6,34.0,64,6,,,
西屯,臺中市,85,細懸浮微粒,普通,4.9,0.48,14,23.0,87,29,25.0,25.0,0.8,2.0,2.5,2017-10-12 00:00,,0.5,30.0,86,6,,,
彰化,彰化縣,105,細懸浮微粒,對敏感族群不良,5.7,0.47,14,13.0,68,35,20.0,22.0,1.4,2.3,6.5,2017-10-12 00:00,,0.6,37.0,65,6,,,
線西,彰化縣,50,,良好,3.4,0.19,7.2,13.0,19,8,17.0,19.0,2.1,2.0,44.0,2017-10-12 00:00,,0.3,15.0,46,4,,,
二林,彰化縣,69,細懸浮微粒,普通,4.7,0.33,3.5,15.0,63,23,14.0,18.0,4.1,1.0,267.0,2017-10-12 00:00,,0.3,23.0,68,5,,,
南投,南投縣,109,細懸浮微粒,對敏感族群不良,3.2,0.39,18,33.0,66,35,19.0,19.0,0.7,0.9,41.0,2017-10-12 00:00,,0.5,38.0,71,3,,,
斗六,雲林縣,97,細懸浮微粒,普通,2.3,0.31,31,47.0,53,27,12.0,13.0,1.1,0.7,52.0,2017-10-12 00:00,,0.4,34.0,61,4,,,
崙背,雲林縣,89,細懸浮微粒,普通,2.6,0.32,26,28.0,47,34,10.0,12.0,1.7,0.5,179.0,2017-10-12 00:00,,0.3,31.0,44,3,,,
新港,嘉義縣,64,細懸浮微粒,普通,2.1,0.31,22,36.0,45,17,12.0,13.0,0.7,0.9,191.0,2017-10-12 00:00,,0.4,21.0,47,4,,,
朴子,嘉義縣,71,細懸浮微粒,普通,7.7,0.28,26,40.0,59,27,16.0,17.0,1.5,1.5,170.0,2017-10-12 00:00,,0.3,24.0,61,3,,,
臺西,雲林縣,55,細懸浮微粒,普通,2.1,0.22,21,25.0,57,18,9.6,10.0,0.5,1.9,209.0,2017-10-12 00:00,,0.2,17.0,55,4,,,
嘉義,嘉義市,66,細懸浮微粒,普通,2.4,0.34,21,40.0,34,17,11.0,12.0,0.7,0.9,114.0,2017-10-12 00:00,,0.4,22.0,46,3,,,
新營,臺南市,65,細懸浮微粒,普通,2.1,0.24,32,39.0,30,17,6.8,7.0,0.3,1.4,181.0,2017-10-12 00:00,,0.3,21.0,39,3,,,
善化,臺南市,44,,良好,1.0,0.2,23,36.0,31,13,8.1,9.7,1.6,1.4,115.0,2017-10-12 00:00,,0.2,14.0,36,3,,,
安南,臺南市,75,細懸浮微粒,普通,4.2,0.39,28,36.0,56,25,15.0,16.0,1.3,2.9,132.0,2017-10-12 00:00,,0.4,25.0,56,4,,,
臺南,臺南市,70,細懸浮微粒,普通,3.9,0.37,25,31.0,51,23,18.0,19.0,1.1,1.7,141.0,2017-10-12 00:00,,0.4,23.0,50,4,,,
美濃,高雄市,60,細懸浮微粒,普通,1.5,0.22,16,29.0,39,18,6.1,7.6,1.6,0.9,27.0,2017-10-12 00:00,,0.3,19.0,39,2,,,
橋頭,高雄市,75,細懸浮微粒,普通,4.8,0.32,8.8,15.0,50,28,17.0,18.0,1.4,1.4,69.0,2017-10-12 00:00,,0.5,25.0,50,3,,,
仁武,高雄市,69,細懸浮微粒,普通,3.8,0.43,22,43.0,56,26,16.0,17.0,1.3,1.6,87.0,2017-10-12 00:00,,0.3,23.0,47,4,,,
鳳山,高雄市,65,細懸浮微粒,普通,2.7,0.46,16,31.0,61,25,17.0,18.0,0.7,1.6,51.0,2017-10-12 00:00,,0.6,21.0,61,3,,,
大寮,高雄市,75,細懸浮微粒,普通,3.8,0.43,5.3,21.0,43,31,19.0,23.0,4.0,0.5,309.0,2017-10-12 00:00,,0.3,25.0,52,5,,,
林園,高雄市,42,,良好,5.5,0.38,33,45.0,35,ND,7.2,7.8,0.6,1.0,51.0,2017-10-12 00:00,,0.2,2.0,28,5,,,
楠梓,高雄市,62,細懸浮微粒,普通,2.2,0.33,15,22.0,52,20,18.0,19.0,1.0,1.2,97.0,2017-10-12 00:00,,0.5,20.0,54,3,,,
左營,高雄市,65,細懸浮微粒,普通,2.9,0.17,45,56.0,48,18,8.0,8.0,0.0,0.7,310.0,2017-10-12 00:00,,0.2,21.0,48,3,,,
前金,高雄市,65,細懸浮微粒,普通,3.5,0.19,42,54.0,43,15,6.0,7.0,1.0,1.5,322.0,2017-10-12 00:00,,0.3,21.0,49,3,,,
前鎮,高雄市,71,細懸浮微粒,普通,4.2,0.22,41,48.0,41,14,7.6,8.3,0.7,1.4,322.0,2017-10-12 00:00,,0.3,24.0,50,3,,,
小港,高雄市,69,細懸浮微粒,普通,4.1,0.49,14,40.0,60,23,25.0,27.0,2.1,1.3,39.0,2017-10-12 00:00,,0.3,23.0,53,6,,,
屏東,屏東縣,62,細懸浮微粒,普通,2.5,0.35,14,24.0,51,17,13.0,14.0,1.0,1.9,342.0,2017-10-12 00:00,,0.5,20.0,53,4,,,
潮州,屏東縣,53,細懸浮微粒,普通,1.2,0.16,15,24.0,35,9,3.4,21.0,18.0,1.0,68.0,2017-10-12 00:00,,0.2,16.0,46,2,,,
恆春,屏東縣,31,,良好,0.7,0.08,32,33.0,27,6,2.4,2.5,0.1,8.1,40.0,2017-10-12 00:00,,0.1,9.0,32,1,,,
臺東,臺東縣,20,,良好,1.0,0.13,24,19.0,20,4,1.5,3.4,2.0,2.0,325.0,2017-10-12 00:00,,0.2,4.0,22,1,,,
花蓮,花蓮縣,17,,良好,1.5,0.16,22,17.0,13,ND,4.6,5.0,0.4,1.5,155.0,2017-10-12 00:00,,0.3,2.0,18,2,,,
陽明,臺北市,22,,良好,2.3,0.07,27,24.0,4,ND,0.8,0.8,0.1,,,2017-10-12 00:00,,0.1,1.0,5,3,,,
宜蘭,宜蘭縣,20,,良好,1.4,0.14,25,22.0,20,2,2.2,2.6,0.4,0.9,199.0,2017-10-12 00:00,,0.2,2.0,19,1,,,
冬山,宜蘭縣,28,,良好,-0.4,0.16,20,17.0,12,10,7.0,11.0,3.5,1.6,248.0,2017-10-12 00:00,,0.2,9.0,12,1,,,
三重,新北市,32,,良好,5.8,0.56,-,,32,2,19.0,46.0,27.0,,,2017-10-12 00:00,,1.2,5.0,35,5,,,
中壢,桃園市,29,,良好,3.5,0.39,13,9.0,24,8,13.0,20.0,6.9,1.4,354.0,2017-10-12 00:00,,1.0,7.0,31,3,,,
竹山,南投縣,133,細懸浮微粒,對敏感族群不良,2.1,0.25,30,46.0,63,48,9.0,10.0,1.4,1.0,119.0,2017-10-12 00:00,,0.3,48.0,65,2,,,
永和,新北市,19,,良好,2.1,0.18,21,15.0,17,7,6.6,8.7,2.1,2.8,88.0,2017-10-12 00:00,,0.4,6.0,16,1,,,
復興,高雄市,60,細懸浮微粒,普通,4.0,0.3,39,44.0,39,17,9.6,12.0,2.8,0.6,200.0,2017-10-12 00:00,,0.5,19.0,44,4,,,
埔里,南投縣,134,細懸浮微粒,對敏感族群不良,2.9,0.38,23,58.0,47,35,14.0,15.0,1.1,1.0,157.0,2017-10-12 00:00,,0.6,48.0,67,2,,,
馬祖,連江縣,51,細懸浮微粒,普通,1.5,0.22,35,39.0,37,15,2.1,2.2,0.1,5.4,41.0,2017-10-12 00:00,,0.2,16.0,37,2,,,
金門,金門縣,36,,良好,3.0,0.12,29,32.0,33,9,3.7,4.1,0.4,4.3,39.0,2017-10-12 00:00,,0.1,11.0,39,3,,,
馬公,澎湖縣,35,,良好,1.7,0.1,19,22.0,25,10,4.2,4.8,0.6,5.9,16.0,2017-10-12 00:00,,0.1,11.0,31,3,,,
關山,臺東縣,18,,良好,1.2,,22,19.0,13,3,0.9,1.7,0.8,2.9,3.0,2017-10-12 00:00,,,4.0,14,1,,,
麥寮,雲林縣,67,細懸浮微粒,普通,2.7,0.28,18,22.0,65,18,9.3,12.0,3.1,1.1,216.0,2017-10-12 00:00,,0.3,22.0,68,3,,,
麥寮,雲林縣,66,細懸浮微粒,普通,2.1,0.29,20,17.0,60,27,8.3,9.9,1.6,0.9,96.0,2017-10-12 01:00,,0.3,22.0,65,3,,,
萬里,新北市,43,,良好,2.5,0.08,27,27.0,56.0,16,1.0,1.9,0.9,9.6,52.0,2017-10-12 02:00,,0.1,12.0,46,3.0,,,
新店,新北市,18,,良好,1.3,0.09,24,19.0,17.0,4,3.0,4.1,1.1,0.7,49.0,2017-10-12 02:00,,0.2,3.0,14,2.0,,,
土城,新北市,17,,良好,1.0,0.12,23,16.0,17.0,6,,,,1.1,208.0,2017-10-12 02:00,,0.3,5.0,18,1.0,,,
板橋,新北市,16,,良好,2.4,0.14,21,13.0,10.0,ND,5.7,7.6,1.9,2.2,70.0,2017-10-12 02:00,,0.3,4.0,17,2.0,,,
新莊,新北市,15,,良好,2.2,0.14,20,16.0,12.0,ND,7.7,9.6,1.9,3.4,70.0,2017-10-12 02:00,,0.2,2.0,14,3.0,,,
菜寮,新北市,26,,良好,2.4,0.15,20,15.0,15.0,6,7.8,8.7,0.8,2.5,76.0,2017-10-12 02:00,,0.2,8.0,19,4.0,,,
林口,新北市,45,,良好,1.4,0.1,23,18.0,18.0,13,4.8,5.7,0.9,1.6,86.0,2017-10-12 02:00,,0.2,14.0,22,3.0,,,
淡水,新北市,18,,良好,1.7,0.08,21,19.0,16.0,ND,1.9,3.8,1.9,,,2017-10-12 02:00,,0.1,3.0,14,3.0,,,
